"id","experience_R","experience_datatable","usage_frequency","usage_context","usage_area","appreciate_most","biggest_challenges","desired_extra_functionality","satisfaction1_performance","satisfaction1_readability","satisfaction1_concise","satisfaction1_nonbreaking","satisfaction1_mindeps","satisfaction1_errors","satisfaction1_docs","importance_performance","importance_readability","importance_concise","importance_nonbreaking","importance_mindeps","importance_errors","importance_docs","satisfaction2_io","satisfaction2_filter","satisfaction2_reshape","satisfaction2_joins","satisfaction2_manip","pipe_helper_usefulness","walrus_alias","contribution_interest","contribution_areas_interest","contribution_areas_previous","contribution_easier","values_et_al","agreements_et_al","gov_docs_rolemodels","anything_else","responses_sharing"
21,"4 - 7 years","2 - 4 years","Every month","Professionally;Academic research;Side projects;","Data preparation;As a dependency in my R package(s);","The combination of simple syntax (for the basics) and the speed.","(1) I find the api for melt and dcast hard to use/remember. (2) programattic use is tricky. (3) More join documentation. I think the dev version has something for (2) and believe there have been PRs for (3) but I've not looked too hard at either.","I'm not against extra functionality per se but nothing jumps out at me.","Very satisfied","Somewhat satisfied","Very satisfied","Somewhat satisfied","Somewhat satisfied","Very satisfied","Somewhat satisfied","Very important","Important","Very important","Important","Important","Extremely important","Extremely important","Very satisfied","Very satisfied","Neither satisfied nor dissatisfied","Somewhat satisfied","Very satisfied","Not useful to me","an alias may cause confusion here","Yes","Donating financially;","Spreading the word about data.table;","Available time is currently an issue for me more than anything else so financial donation could be useful. Large PR backlog can be tricky to navigate for newcomer so perhaps getting that down could make things easier (should I gain more time in the future).","Sustainability (grants purpose I guess). Tailored to R. Efficient and elegant. Openess. Welcoming community.","I'd like to see a roadmap established. It can be frustrating as an outsider not knowing where projects are heading / what is planned for the future.",NA,"Just want to say thank you for starting this process!",NA
22,"7+ years","7+ years","Every week","Professionally;","Data preparation;As a dependency in my R package(s);Statistical analysis;In production;In Shiny apps;","fast and super syntax, leightweight","nothing","probably something related to reading, manipulating and writing parquet","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Somewhat satisfied","Somewhat satisfied","Very important","Extremely important","Very important","Very important","Very important","Very important","Extremely important","Somewhat satisfied","Very satisfied","Somewhat satisfied","Very satisfied","Somewhat satisfied","Not useful to me","let (DT[, let(new1 = sum(colB), new2 = sum(colC))])","Yes","Giving talks/tutorials on data.table;Reviewing R code;GitHub issue triage (adding labels to issues, finding new issues to prioritize and old issues to close, etc.);Submitting R code;","Spreading the word about data.table;Giving talks/tutorials on data.table;","Not sure","Openness, simplicity, compatibility",NA,NA,"I really love the project, but sadly have other priorities than contributing more",NA
23,"2 - 4 years","12 - 24 months","Every day","Professionally;Side projects;","Data preparation;Machine learning;","Concise sintax and fast speed","Understand how to use set by reference","nafill should work with any vector type and functions to work with dates and intervals","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Extremely important","Extremely important","Extremely important","Somewhat important","Somewhat important","Extremely important","Extremely important","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Somewhat useful to me","setj (DT[, setj(new1 = sum(colB), new2 = sum(colC))])","Yes","Spreading the word about data.table;Giving talks/tutorials on data.table;Reporting issues;GitHub issue triage (adding labels to issues, finding new issues to prioritize and old issues to close, etc.);Adding translations;Donating financially;Submitting requests for new features;Writing/editing documentation;","Spreading the word about data.table;Reporting issues;","I would like to see a video showing how to do each contribution",NA,NA,NA,"I use data.table from Dominican Republic as a Financial Reporting Analyst",NA
24,"4 - 7 years","2 - 4 years","Every month","Academic research;Professionally;Teaching;","Data preparation;Statistical analysis;Machine learning;As a dependency in my R package(s);","Syntax","Number of users at work","Larger than memory","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Important","Extremely important","Extremely important","Extremely important","Extremely important","Extremely important","Extremely important","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat useful to me","set (DT[, set(new1 = sum(colB), new2 = sum(colC))])","Maybe","Reporting issues;Submitting requests for new features;","I haven't contributed to data.table yet;",NA,NA,NA,NA,NA,NA
25,"4 - 7 years","4 - 7 years","Every week","Professionally;","Data preparation;Statistical analysis;As a dependency in my R package(s);In Shiny apps;In production;","Speed and conciseness","How complicated column transformations get formatted.","A set function for altering specific columns, so I can pipe DTs with the native pipe. Also merging on multiple columns, or other logical operations like greater than.","Very satisfied","Neither satisfied nor dissatisfied","Very satisfied","Very satisfied","Very satisfied","Somewhat satisfied","Very satisfied","Extremely important","Important","Extremely important","Very important","Very important","Important","Important","Very satisfied","Very satisfied","Somewhat satisfied","Somewhat satisfied","Very satisfied","Very useful to me","set (DT[, set(new1 = sum(colB), new2 = sum(colC))])","Yes","Spreading the word about data.table;Giving talks/tutorials on data.table;Reporting issues;Submitting requests for new features;Writing/editing documentation;Adding translations;Reviewing R code;Submitting R code;Donating financially;","Spreading the word about data.table;Giving talks/tutorials on data.table;","An in. I'm not active on most social media, so I don't even know who the core group is.","Speed, conciseness, intention. Don't inflate the code to do more (like pandas did).","No comment","No comment","I love data.table. I also love the new R pipe. I didn't use pipes before base R added them, and I wish dt did more with it. I pipe anonymous functions passing the dt.",NA
26,"7+ years","0 - 3 months","I don't use data.table anymore","Academic research;","Data preparation;Statistical analysis;",NA,NA,NA,"Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat important","Extremely important","Important","Extremely important","Very important","Important","Extremely important","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Not useful to me","set (DT[, set(new1 = sum(colB), new2 = sum(colC))])","No","I'm not currently interested in contributing to data.table;","I haven't contributed to data.table yet;",NA,NA,NA,NA,NA,NA
27,"4 - 7 years","4 - 7 years","Every day","Side projects;","Data preparation;","Fast reading speeds","The non tidyverse syntax",NA,"Very satisfied","Very satisfied","Somewhat satisfied","Very satisfied","Somewhat satisfied","Somewhat satisfied","Very satisfied","Extremely important","Very important","Important","Important","Not important at all","Not important at all","Somewhat important","Very satisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Very useful to me","Don’t use this operator","No","I'm not currently interested in contributing to data.table;","I haven't contributed to data.table yet;",NA,NA,NA,NA,NA,NA
28,"7+ years","7+ years","Every month","Side projects;","Data preparation;Statistical analysis;Machine learning;As a dependency in my R package(s);","speed","Mixing with base functions, e.g. summary, quintiles, and anticipating form of output","Can't think of anything","Very satisfied","Neither satisfied nor dissatisfied","Very satisfied","Very satisfied","Very satisfied","Somewhat satisfied","Somewhat satisfied","Extremely important","Somewhat important","Important","Extremely important","Very important","Important","Important","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Somewhat useful to me",NA,"No","I'm not currently interested in contributing to data.table;","Spreading the word about data.table;",NA,NA,NA,NA,NA,NA
29,"4 - 7 years","12 - 24 months","Every month","Academic research;Professionally;","Data preparation;","Speed in doing straightforward manipulations of very big datasets","I'm not as familiar with the syntax as I would be with tidyverse/dplyr manipulation functions. Also following when implementing in-place changes vs returning modified dataframes is sometimes challenging (vs normal work using functions which never modify in-place)","More verbose aliases (for `.SD` and `.N` etc.) which can help readibility?","Very satisfied","Somewhat dissatisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Somewhat satisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Important","Very important","Important","Not important at all","Somewhat important","Important","Important","Somewhat satisfied","Neither satisfied nor dissatisfied","Somewhat dissatisfied","Somewhat dissatisfied","Somewhat satisfied","Somewhat useful to me","set (DT[, set(new1 = sum(colB), new2 = sum(colC))])","Maybe","Giving talks/tutorials on data.table;Spreading the word about data.table;Reviewing R code;Reporting issues;Submitting requests for new features;","Spreading the word about data.table;","Some quality adaptable and re-usable course materials perhaps? In providing R training to academic researchers I tend to focus on tidyverse tools for consistency and ease of approach. My full recommendation to learners though would be to become equally familiar with data.table+base+tidyverse (rather than choose one out of loyalty). If all tools were equally available for the task they suit best I'd love to see that truly working in harmony in an R script.","Openness, Accessibility","Verbosity and readibility perhaps?","NA","I'll admit I'm only becoming familiar with data.table after a good few years working with R. I like it and want to become more familiar and capable of switching approaches easily.",NA
30,"7+ years","2 - 4 years","Every week","Academic research;Side projects;","Data preparation;As a dependency in my R package(s);In Shiny apps;Statistical analysis;","Speed","Can't figure out .SD+lapply for the life of me","To be able to have an sf data.table... but that may be an sf problem","Very satisfied","Somewhat dissatisfied","Somewhat satisfied","Somewhat satisfied","Very satisfied","Very satisfied","Somewhat satisfied","Extremely important","Important","Somewhat important","Somewhat important","Important","Important","Extremely important","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Somewhat satisfied","Very useful to me","set (DT[, set(new1 = sum(colB), new2 = sum(colC))])","Maybe","Spreading the word about data.table;Giving talks/tutorials on data.table;Reporting issues;Submitting requests for new features;GitHub issue triage (adding labels to issues, finding new issues to prioritize and old issues to close, etc.);","Spreading the word about data.table;","Feeling like I had anything of value to contribute",NA,NA,NA,NA,NA
31,"7+ years","4 - 7 years","Every day","Professionally;","Data preparation;","It is very fast","data.table fread lacks features compared to readr (e.g. comment.char)","Better integration with tidyverse syntax. Support for ZSTD compressed files reading and writing.","Somewhat satisfied","Somewhat dissatisfied","Somewhat dissatisfied","Neither satisfied nor dissatisfied","Somewhat satisfied","Neither satisfied nor dissatisfied","Somewhat dissatisfied","Very important","Very important","Very important","Somewhat important","Very important","Important","Very important","Somewhat satisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Somewhat useful to me","let (DT[, let(new1 = sum(colB), new2 = sum(colC))])","No","I'm not currently interested in contributing to data.table;","I haven't contributed to data.table yet;",NA,NA,NA,NA,NA,NA
32,"7+ years","7+ years","Every week","Professionally;Side projects;","Data preparation;Statistical analysis;As a dependency in my R package(s);In production;","Speed","Syntax",NA,"Very satisfied","Somewhat satisfied","Very satisfied","Very satisfied","Very satisfied","Somewhat satisfied","Very satisfied","Extremely important","Extremely important","Very important","Extremely important","Extremely important","Extremely important","Extremely important","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Somewhat useful to me","set (DT[, set(new1 = sum(colB), new2 = sum(colC))])","Maybe","Spreading the word about data.table;","Spreading the word about data.table;",NA,NA,NA,NA,NA,NA
33,"4 - 7 years","4 - 7 years","Every day","Academic research;Side projects;","Data preparation;Statistical analysis;As a dependency in my R package(s);In Shiny apps;","< masked >","< masked >","< masked >","Very satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Very satisfied","Very satisfied","Very satisfied","Very important","Very important","Important","Very important","Very important","Very important","Extremely important","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Not useful to me","set (DT[, set(new1 = sum(colB), new2 = sum(colC))])","Maybe","Submitting requests for new features;","I haven't contributed to data.table yet;","< masked >","< masked >","< masked >","< masked >","< masked >","Only share my responses to open-ended questions in a summarized form"
34,"7+ years","4 - 7 years","Every day","Professionally;Academic research;","Data preparation;In Shiny apps;Statistical analysis;","Fast!","Indexing columns","Function to read excel files","Very dissatisfied","Very dissatisfied","Very dissatisfied","Very dissatisfied","Very dissatisfied","Very dissatisfied","Very dissatisfied","Important","Somewhat important","Important","Important","Important","Somewhat important","Somewhat important","Very dissatisfied","Very dissatisfied","Somewhat dissatisfied","Very dissatisfied","Very dissatisfied","Not useful to me","setj (DT[, setj(new1 = sum(colB), new2 = sum(colC))])","No","I'm not currently interested in contributing to data.table;","I haven't contributed to data.table yet;Spreading the word about data.table;","None","Minimal dependencies","Do not know","Not familiar","None",NA
35,"2 - 4 years","3 - 12 months","Every week","Professionally;As a student;","In Shiny apps;In production;Data preparation;","The main thing is about the speed","The syntax maybe a bit challenging but with tidytable package that challenge is tackled.","Possible to write data.table into xlsx format.","Very satisfied","Somewhat satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Extremely important","Extremely important","Extremely important","Somewhat important","Somewhat important","Very important","Very important","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very useful to me",NA,"Yes","Spreading the word about data.table;Reporting issues;Submitting requests for new features;Reviewing R code;Donating financially;",NA,NA,NA,NA,NA,"Keep up the good work and possibly beat polars package in speed",NA
36,"4 - 7 years","2 - 4 years","Every day","Professionally;","Data preparation;Statistical analysis;In production;","It's fast and memory efficient","Learning the syntax","Some better integration of rownames if it's technically feasible?","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Somewhat satisfied","Somewhat satisfied","Extremely important","Very important","Very important","Extremely important","Somewhat important","Very important","Extremely important","Very satisfied","Very satisfied","Somewhat satisfied","Somewhat satisfied","Very satisfied","Very useful to me","setj (DT[, setj(new1 = sum(colB), new2 = sum(colC))])","No",NA,"Spreading the word about data.table;",NA,NA,NA,NA,NA,NA
37,"4 - 7 years","12 - 24 months","Every week","Professionally;","Data preparation;In production;","speed","syntax",NA,"Very satisfied","Neither satisfied nor dissatisfied",NA,"Somewhat satisfied","Very satisfied","Somewhat satisfied","Somewhat dissatisfied","Important","Somewhat important","Not important at all","Not important at all","Somewhat important","Not important at all","Not important at all","Neither satisfied nor dissatisfied","Somewhat satisfied","Neither satisfied nor dissatisfied","Somewhat satisfied","Somewhat satisfied","Somewhat useful to me","let (DT[, let(new1 = sum(colB), new2 = sum(colC))])","No",NA,NA,NA,NA,NA,NA,NA,NA
38,"7+ years","2 - 4 years","I don't use data.table anymore","Professionally;Academic research;","As a dependency in my R package(s);Statistical analysis;Data preparation;In production;","Speed and not being a dirty cow.","The syntax is a hurdle for communicating what is being done with other developers.",NA,"Very satisfied","Somewhat dissatisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Extremely important","Very important","Somewhat important","Somewhat important","Somewhat important","Somewhat important","Important","Neither satisfied nor dissatisfied","Somewhat satisfied","Somewhat dissatisfied","Somewhat satisfied","Very satisfied","Very useful to me","let (DT[, let(new1 = sum(colB), new2 = sum(colC))])","No","I'm not currently interested in contributing to data.table;","I haven't contributed to data.table yet;","Having my clients pay for it.",NA,NA,NA,NA,NA
39,"7+ years","2 - 4 years","I don't use data.table anymore","Professionally;","No longer using;In Shiny apps;In production;","Speed","Syntax","No","Somewhat satisfied","Very dissatisfied","Somewhat dissatisfied","Very satisfied","Very satisfied","Somewhat satisfied","Somewhat satisfied","Very important","Extremely important","Extremely important","Important","Important","Very important","Extremely important","Somewhat satisfied","Somewhat dissatisfied","Somewhat dissatisfied","Somewhat dissatisfied","Somewhat dissatisfied","Very useful to me","let (DT[, let(new1 = sum(colB), new2 = sum(colC))])","No","I'm not currently interested in contributing to data.table;","I haven't contributed to data.table yet;","No",NA,NA,NA,NA,NA
40,"7+ years","2 - 4 years","Every month","Professionally;","Data preparation;Machine learning;In Shiny apps;","Speed",NA,"Facilitating pipe use","Very satisfied","Somewhat dissatisfied","Neither satisfied nor dissatisfied","Somewhat satisfied","Somewhat satisfied","Very satisfied","Very satisfied","Extremely important","Very important","Very important","Not important at all","Important","Somewhat important","Very important","Very satisfied","Very satisfied","Very satisfied","Somewhat satisfied","Somewhat dissatisfied","Very useful to me","set (DT[, set(new1 = sum(colB), new2 = sum(colC))])","No","I'm not currently interested in contributing to data.table;","I haven't contributed to data.table yet;","I just dont have the time",NA,NA,NA,NA,NA
41,"4 - 7 years","0 - 3 months","Every day","Academic research;","Data preparation;Statistical analysis;","< masked >","< masked >","< masked >","Very satisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Somewhat satisfied","Extremely important","Extremely important","Extremely important","Important","Somewhat important","Very important","Extremely important","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very useful to me","None","Yes","Spreading the word about data.table;Giving talks/tutorials on data.table;Reporting issues;","I haven't contributed to data.table yet;","< masked >","< masked >","< masked >","< masked >","< masked >","Only share my responses to open-ended questions in a summarized form"
42,"7+ years","7+ years","Occasionally","Professionally;","Data preparation;","speed. handy utils e.g rleid","syntax can be a bit funky.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very useful to me","let (DT[, let(new1 = sum(colB), new2 = sum(colC))])","No",NA,NA,NA,NA,NA,NA,NA,NA
43,"7+ years","2 - 4 years","Every day","Professionally;fread(), fwrite() are awesome ;",NA,"Quick and intuitive loading of data","Dplyr syntax is much more readable",NA,"Very satisfied","Very dissatisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Extremely important","Extremely important","Somewhat important","Extremely important","Very important","Extremely important","Extremely important","Very satisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Very useful to me",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,"7+ years","2 - 4 years","Occasionally","Academic research;Professionally;","Statistical analysis;Data preparation;","performance, no dependencies","learning curve","perhaps better documentation, there is always place for better documentation","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Somewhat satisfied","Extremely important","Extremely important","Extremely important","Extremely important","Extremely important","Extremely important","Extremely important","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very useful to me","set (DT[, set(new1 = sum(colB), new2 = sum(colC))])","Maybe","Spreading the word about data.table;","Spreading the word about data.table;","if I had enough time :(","performance, simplicity, power",NA,NA,"I really appreciate the work that went into data.table. I usually work in pure base, but data.table was always amazing to use when I worked with huge dataset. The only issue I have is: why not row names? Subsetting with row.names is just so natural in R and very convenient. Having to use the ""name"" column for this makes code very awkward, but perhaps I haven't used data.table properly.",NA
